price,area,bedrooms,bathrooms,stories,parking,Area_per_Bedroom,Total_Rooms,Price_per_Area,mainroad_no,mainroad_yes,guestroom_no,guestroom_yes,basement_no,basement_yes,hotwaterheating_no,hotwaterheating_yes,airconditioning_no,airconditioning_yes,prefarea_no,prefarea_yes,furnishingstatus_furnished,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price_log
13300000,7420,4,2,3,2,1855.0,6,1792.4528301886792,False,True,True,False,True,False,True,False,False,True,False,True,True,False,False,16.40327466837995
12250000,8960,4,4,4,3,2240.0,8,1367.1875,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,16.32103657658766
12250000,9960,3,2,2,2,3320.0,5,1229.9196787148594,False,True,True,False,False,True,True,False,True,False,False,True,False,True,False,16.32103657658766
12215000,7500,4,2,2,3,1875.0,6,1628.6666666666667,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,16.31817534454053
11410000,7420,4,1,2,2,1855.0,5,1537.7358490566037,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,16.250000809480674
10850000,7500,3,3,1,2,2500.0,6,1446.6666666666667,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,16.19967573011664
10150000,8580,4,3,4,2,2145.0,7,1182.983682983683,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,16.132984361974234
10150000,16200,5,3,2,0,3240.0,8,626.5432098765432,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,16.132984361974234
9870000,8100,4,1,2,2,2025.0,5,1218.5185185185185,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,16.105010512726782
9800000,5750,3,2,4,1,1916.6666666666667,5,1704.3478260869565,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,16.097893045681612
9800000,13200,3,1,2,2,4400.0,4,742.4242424242424,False,True,True,False,False,True,True,False,False,True,False,True,True,False,False,16.097893045681612
9681000,6000,4,3,2,2,1500.0,7,1613.5,False,True,False,True,False,True,False,True,True,False,True,False,False,True,False,16.085675862997316
9310000,6550,4,2,2,1,1637.5,6,1421.3740458015268,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,16.04659975666463
9240000,3500,4,2,2,2,875.0,6,2640.0,False,True,True,False,True,False,False,True,True,False,True,False,True,False,False,16.039052551842968
9240000,7800,3,2,2,0,2600.0,5,1184.6153846153845,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,16.039052551842968
9100000,6000,4,1,2,2,1500.0,5,1516.6666666666667,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,16.02378508137718
9100000,6600,4,2,2,1,1650.0,6,1378.7878787878788,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,16.02378508137718
8960000,8500,3,2,4,2,2833.3333333333335,5,1054.1176470588234,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,16.00828089655825
8890000,4600,3,2,2,2,1533.3333333333333,5,1932.608695652174,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,16.00043771997602
8855000,6420,3,2,2,1,2140.0,5,1379.2834890965732,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,15.996492942129612
8750000,4320,3,1,2,2,1440.0,4,2025.462962962963,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,15.984564372619506
8680000,7155,3,2,1,2,2385.0,5,1213.1376659678547,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,15.976532201843899
8645000,8050,3,1,1,1,2683.3333333333335,4,1073.9130434782608,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,15.97249179277332
8645000,4560,3,2,2,1,1520.0,5,1895.8333333333333,False,True,False,True,False,True,True,False,False,True,True,False,True,False,False,15.97249179277332
8575000,8800,3,2,2,2,2933.3333333333335,5,974.4318181818181,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,15.964361667634346
8540000,6540,4,2,2,2,1635.0,6,1305.8103975535169,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,15.960271682860764
8463000,6000,3,2,4,0,2000.0,5,1410.5,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,15.951214396813645
8400000,8875,3,1,1,1,2958.3333333333335,4,946.4788732394367,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,15.943742382861155
8400000,7950,5,2,2,2,1590.0,7,1056.6037735849056,False,True,True,False,False,True,False,True,True,False,True,False,False,False,True,15.943742382861155
8400000,5500,4,2,2,1,1375.0,6,1527.2727272727273,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,15.943742382861155
8400000,7475,3,2,4,2,2491.6666666666665,5,1123.7458193979933,False,True,True,False,True,False,True,False,False,True,True,False,False,False,True,15.943742382861155
8400000,7000,3,1,4,2,2333.3333333333335,4,1200.0,False,True,True,False,True,False,True,False,False,True,True,False,False,True,False,15.943742382861155
